year,brate_1519,brate_2024,brate_2529,brate_3034,brate_3539,brate_4044
1980,52.31498569892648,95.36027768829184,112.54709012231643,91.6300179279081,15.781481340669222,-3.7777923075384283
1981,55.751734804898646,118.90184650925387,101.90424813326906,72.7792862968368,16.816889403115326,-3.1819182455250576
1982,55.37098939685704,111.80198896369822,107.0971385707301,58.352640273043946,14.259235629795393,-11.133844836376937
1983,54.17034706348441,124.6300996986959,111.61141579361268,71.65289603156788,36.390964129725205,-6.038056623323982
1984,49.639028777665196,121.77948241031682,82.0839257441638,52.31465121818079,21.91534324133169,-5.03656519959817
1985,55.03922575809771,102.11671135491247,116.69745338720362,59.43182847615308,26.886565237501706,19.831173308921848
1986,44.32281199351445,113.29171717934358,118.19274791376603,57.98017082071386,15.713175576520415,-2.773960415909432
1987,50.1835188277861,138.16826143145084,114.48338882556332,45.76905908663241,22.213531475062478,10.404349343749178
1988,38.624752508446235,117.59592892174683,118.71960770286853,61.08318378170034,21.230408341392447,-9.749515663335423
1989,54.59536932083878,120.21384515747381,129.1688598976859,42.750978061847356,23.99090001897224,5.109225039864183
1990,54.81876413374015,110.74758870870656,117.72845549807735,54.38217854646166,12.628077639415944,25.223150349380894
1991,45.3436361297733,127.56398914686788,110.76721566658273,58.882218385650546,13.636645098401814,8.613158516281736
1992,59.95750776652757,122.73234669469088,111.75768803900401,60.04156222913745,0.05336065643308174,-4.046341596636779
1993,46.45815408196851,114.69907974093199,106.98274939895958,70.81625194705349,10.502852197398457,27.732093705373536
1994,56.79784920628693,134.54758288122787,98.16233518909235,64.55158256488285,24.6467435744089,6.133670152610648
1995,59.772394920177334,117.83397996494654,102.6147001999152,55.09097711886581,18.471371160248033,16.439344624332087
1996,42.094424574779154,96.13012050425368,111.01118209792796,51.11175140114401,19.712345474610206,7.42427874733964
1997,51.03894231891599,122.95897603887445,91.76575783443116,63.72464318482404,22.109118978505343,-8.22754491000837
1998,54.79642898769787,108.84747035198325,124.32566222820833,70.89418287513085,16.52519908898328,8.632333164638938
1999,43.517321171593295,108.04535603224933,112.48505766581674,71.47117363289561,14.605943773788361,23.821785504759294
2000,69.47662605620638,128.03678924286723,112.5049948636447,67.39603163674866,24.63238932086989,-3.9303697071634076
2001,41.160929033029646,122.65425046271872,110.47316229308697,37.582133961196504,7.307281920139847,-8.463471219185614
2002,34.344850036800494,113.00793714651267,94.17241224108254,53.16264222602075,27.449794377508148,2.3085749979417236
2003,51.799765082782734,138.531103680074,105.57840109011245,51.0725705708181,30.106851935251793,9.583620699096246
2004,32.96602133955775,141.68705915536654,121.27026489992885,57.88327615110909,15.873448753256847,11.693353521350556
2005,46.99688758569831,122.03790295177903,104.16092057907059,64.45948342699552,32.247478808207084,-13.954173551180858
2006,40.58653352090913,128.239422562713,119.91276102525723,73.32298590979062,26.102905032601853,4.439846463951272
2007,37.94865493741904,114.38156106094164,119.45797836249639,60.529330378681635,21.017270471447,17.235784801969857
2008,61.22836977095367,120.76880162592443,117.75823980307007,61.95915146742445,6.990533583911503,8.0287699798778
2009,42.65368065120538,128.9316535726787,121.39300650428136,51.22135811970594,11.299203872795543,15.189216742865842
2010,53.61327091508597,112.1935724456072,111.69931933390397,71.71392035159684,24.85326480928239,11.107267234227443
2011,53.57601060288996,122.05473380835592,93.59997553253771,55.33589138573817,26.873721621258802,24.4245326646074
2012,54.2022323520421,133.40073149272774,112.33443723865429,70.09420777924635,26.689178146231143,12.46519382882963
2013,41.387848162299875,117.28933179912801,92.97809905673112,75.77617767440644,11.074816888050329,-6.777837644373783
2014,45.63168839643707,117.79720897909621,110.7192745367228,52.386730671466594,15.602934652483818,6.578938123303292
2015,49.33637246027579,137.85679670631623,116.76560146122712,88.20230830804324,19.17198072475603,15.034877351426815
2016,58.244864487537626,136.84014345217614,108.46490171929639,62.080174389534136,31.60186606536537,2.1668944911223904
2017,52.056509793967734,110.15825112776649,106.8679713763112,68.10043525471892,31.6798827117495,3.9458338908080703
2018,48.577986355353055,125.72033362565566,106.10470306465808,50.00209066280225,5.138415373714096,8.183532172067359
2019,46.20033507533578,106.39691489908716,124.75544850520753,70.78648780055588,21.266763949703943,16.81703948359736
2020,53.406178076758664,132.62157810425913,105.30756265613456,64.3647738484112,32.274540844730346,5.024251150673649
